[2025-08-23 15:05:24.811059524] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.816046292] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.819022012] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.822220979] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:24.825210197] hello sys_write was called by cilium_probe (PID: 502972, TGID: 502972)
[2025-08-23 15:05:24.828115462] hello sys_write was called by cilium_probe (PID: 502972, TGID: 502972)
[2025-08-23 15:05:24.830790449] hello sys_write was called by cilium_probe (PID: 502972, TGID: 502972)
[2025-08-23 15:05:24.833724442] hello sys_write was called by cilium_probe (PID: 502972, TGID: 502972)
[2025-08-23 15:05:24.836514624] hello sys_write was called by cilium_probe (PID: 502972, TGID: 502972)
[2025-08-23 15:05:24.839639663] hello sys_write was called by cilium_probe (PID: 502972, TGID: 502972)
[2025-08-23 15:05:24.842524514] hello sys_write was called by cilium_probe (PID: 502972, TGID: 502972)
[2025-08-23 15:05:24.845286966] hello sys_write was called by cilium_probe (PID: 502972, TGID: 502972)
[2025-08-23 15:05:24.848037761] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:24.850832752] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.853694379] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.856557862] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.859468776] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.862314805] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:24.865022594] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.868053299] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.870858350] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.873796361] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.876606001] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.879846876] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.882658900] hello sys_write was called by node (PID: 499581, TGID: 499570)
[2025-08-23 15:05:24.885405029] hello sys_write was called by node (PID: 499579, TGID: 499570)
[2025-08-23 15:05:24.888317793] hello sys_read was called by sshd (PID: 499443, TGID: 499443)
[2025-08-23 15:05:24.891167041] hello sys_write was called by sshd (PID: 499443, TGID: 499443)
[2025-08-23 15:05:24.893876536] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.896786860] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.899621741] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.902438347] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.905194583] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.908332745] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.911452289] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.914598692] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.917484150] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:24.920423536] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.923466594] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.926707063] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:24.929610590] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.932548248] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:24.935366104] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:24.938355314] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:24.941225793] hello sys_write was called by node (PID: 499578, TGID: 499570)
[2025-08-23 15:05:24.944063978] hello sys_read was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:24.946951479] hello sys_read was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:24.950079469] hello sys_write was called by node (PID: 499570, TGID: 499570)
[2025-08-23 15:05:24.953193231] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.956011597] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.958816574] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:24.961840295] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:24.965081132] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:24.967959183] hello sys_write was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:24.971027296] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:24.973893371] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:24.976937335] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:24.979775028] hello sys_write was called by node (PID: 499581, TGID: 499570)
[2025-08-23 15:05:24.983000913] hello sys_write was called by node (PID: 499579, TGID: 499570)
[2025-08-23 15:05:24.986151097] hello sys_read was called by sshd (PID: 499443, TGID: 499443)
[2025-08-23 15:05:24.988842852] hello sys_write was called by sshd (PID: 499443, TGID: 499443)
[2025-08-23 15:05:24.991555142] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.994369774] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:24.997176922] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.000234520] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.002985259] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.005749073] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.008416181] hello sys_write was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.011303647] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.014207429] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.017024647] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.019886584] hello sys_write was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.022590965] hello sys_read was called by node (PID: 499570, TGID: 499570)
